FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
Raphael,Sandoval,15-May-21,,Production Technician II,Natalie Baker,PYZ,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,28-10-1993,MA,Foreman,Female,61825,Asian,Single,Fully Meets,2,3626,24-02-2023,2,5,1,25-Sep-22,Communication Skills,Internal,Failed,Whitneytown,Melissa Powell PhD,2,559.78
Ruth,Harrell,21-Aug-19,28-Oct-22,Production Technician II,Jesse Wilson,WBL,Voluntarily Terminated,Contract,Zone C,Full-Time,Resignation,Sport enter think order determine.,Production       ,Field Operations,23-02-1967,MA,Supervisor,Female,52646,Black,Married,Fully Meets,3,3627,29-01-2023,1,1,4,30-Aug-22,Leadership Development,Internal,Incomplete,West Amandaburgh,Jessica Mills,5,113.89
Peyton,Barber,18-Sep-20,,Production Technician II,Megan Small,NEL,Active,Contract,Zone B,Part-Time,Unk,,Production       ,Engineers,27-01-1946,MA,Technician,Female,56126,Hispanic,Married,Fully Meets,3,3628,27-05-2023,4,3,1,25-Sep-22,Leadership Development,Internal,Incomplete,Paulshire,Edward Morris,4,858.62
Reginald,Lowery,27-Aug-22,3-Dec-22,Production Technician I,Dr. David Austin Jr.,NEL,Voluntarily Terminated,Contract,Zone B,Full-Time,Voluntary,Expect grow back list letter.,Production       ,Field Operations,26-11-1983,MA,Laborer,Male,70056,Black,Divorced,Fully Meets,5,3629,18-11-2022,2,4,4,30-Jul-23,Technical Skills,Internal,Incomplete,Jacksonville,Rachel Hood,1,343.76
Stephanie,Briggs,23-Feb-19,,Production Technician I,Scott Davis,MSC,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Field Operations,7/5/1965,MA,Laborer,Male,81819,Other,Widowed,Fully Meets,5,3630,19-10-2022,5,3,2,24-Sep-22,Technical Skills,Internal,Failed,Hillland,Johnathan Rodriguez,5,507.58
Shaniya,Becker,8-Aug-22,25-Oct-22,Production Technician I,Kristin Salinas,EW,Active,Contract,Zone C,Full-Time,Retirement,Experience room top and including compare.,Production       ,Wireline Construction,28-04-1947,MA,Apprentice,Male,12978,Other,Divorced,Fully Meets,3,3631,10/2/2023,4,1,5,10-Apr-23,Customer Service,Internal,Completed,Smithchester,Dr. Joseph Graham,1,691.12
Ryan,Oconnell,24-Sep-22,24-Oct-22,Production Technician I,Bridget Jones,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Realize work series fact weight contain.,Production       ,Field Operations,3/10/1945,MA,Foreman,Male,37983,Asian,Married,Fully Meets,3,3632,27-02-2023,3,4,5,23-Jun-23,Technical Skills,Internal,Completed,West Stacystad,Erica Johnson,2,174.85
Emma,Ware,21-Mar-22,,Production Technician I,Melissa Wilkinson,BPC,Active,Contract,Zone B,Temporary,Unk,,Production       ,Aerial,24-03-1987,MA,Laborer,Female,56687,Hispanic,Single,Fully Meets,5,3633,4/11/2022,4,4,4,1-Dec-22,Communication Skills,Internal,Incomplete,New Kevinland,Michelle Lewis,3,699.39
Keyon,Haley,23-Jun-23,26-Jul-23,Production Technician I,Eric Cunningham,PYZ,Active,Part-Time,Zone B,Full-Time,Retirement,Despite budget compare international little.,Production       ,General - Sga,26-04-1962,MA,Supervisor,Female,40148,Other,Married,Fully Meets,5,3634,25-06-2023,2,5,2,15-Sep-22,Technical Skills,External,Incomplete,Mariabury,Danielle Griffin,3,254.68
Kylee,Bates,26-Oct-20,,Production Technician I,Stephen Barron,WBL,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Yard (Material Handling),12/3/1978,MA,Runner,Female,71593,Hispanic,Single,Fully Meets,4,3635,7/10/2022,1,5,4,13-Jun-23,Technical Skills,External,Failed,Greenview,Oscar Gonzalez,2,534.55
Marc,Chandler,29-Jan-20,,Production Technician I,Jennifer Soto,NEL,Active,Contract,Zone B,Temporary,Unk,,Production       ,Catv,13-03-1982,MA,Supervisor,Male,10775,Asian,Divorced,Fully Meets,3,3636,8/12/2022,3,5,3,26-Aug-22,Communication Skills,External,Passed,South Ronnieview,James Lopez,3,795.72
Abdullah,Pruitt,23-Apr-22,,Production Technician I,John Jones,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Aerial,17-04-1995,MA,Engineer,Male,59441,Asian,Divorced,Fully Meets,3,3637,7/5/2023,2,1,3,21-Mar-23,Project Management,External,Completed,Cynthiafort,Timothy Taylor,4,977.23
Shamar,Roth,15-Jun-23,,Production Technician I,Ernest Evans,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Field Operations,10/12/1978,MA,Inspector,Male,55470,Hispanic,Single,Fully Meets,3,3638,15-05-2023,4,5,1,1-Jan-23,Customer Service,Internal,Completed,Angelatown,Jacob White,3,370.79
Jaylen,Acosta,19-Sep-19,14-Apr-20,Production Technician I,Mark Knight,CCDR,Future Start,Contract,Zone C,Full-Time,Retirement,Official growth onto speech after truth.,Production       ,Field Operations,8/1/1966,MA,Runner,Female,8655,Hispanic,Divorced,Fully Meets,3,3639,17-03-2023,3,2,3,30-Mar-23,Communication Skills,External,Completed,Mcleanchester,Mike Becker,3,160.86
Kale,House,7-Jan-23,,Production Technician I,Gina Leon,SVG,Active,Contract,Zone A,Temporary,Unk,,Production       ,Field Operations,21-09-2000,MA,Foreman,Female,48077,Asian,Divorced,Fully Meets,3,3640,25-07-2023,2,1,2,31-Jan-23,Communication Skills,External,Passed,Port Curtisfurt,Kerry Harrison,1,699.48
Kiersten,Ellis,7-Feb-20,1-May-21,Production Technician I,Eric Michael,EW,Future Start,Contract,Zone B,Full-Time,Voluntary,Air act watch affect save positive among.,Production       ,General - Con,15-01-1971,MA,Operator,Male,56039,Other,Widowed,Fully Meets,3,3641,7/11/2022,2,5,4,28-Jul-23,Leadership Development,Internal,Passed,Toddburgh,Amber Nelson,3,831.52
Karissa,Carrillo,29-Apr-20,12-Nov-21,Production Technician I,Alexandra Martin,MSC,Future Start,Contract,Zone B,Full-Time,Retirement,Cold dinner seat property a hear.,Production       ,Field Operations,31-05-1978,MA,Laborer,Male,7474,Black,Single,Fully Meets,3,3642,8/10/2022,4,1,2,20-Nov-22,Communication Skills,Internal,Completed,Michelleshire,Angela Garcia,1,234.74
Issac,Whitehead,16-Apr-20,,Production Technician I,Eric Calderon,TNS,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Catv,22-03-1961,MA,Laborer,Male,9287,Asian,Single,Fully Meets,3,3643,18-06-2023,1,5,3,27-Mar-23,Leadership Development,Internal,Completed,Calvinfurt,Ian Bennett,4,712.43
Madisyn,Andrews,16-Jun-22,,Production Technician I,Thomas Jones,PYZ,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Field Operations,24-06-1986,MA,Laborer,Male,42213,Black,Married,Fully Meets,3,3644,11/11/2022,4,4,4,6-Feb-23,Technical Skills,Internal,Incomplete,Port Aimee,Damon Ross,1,504.66
Madyson,Rhodes,22-Jul-19,,Production Technician I,Bridget Mills,WBL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,General - Con,16-09-1977,MA,Technician,Male,34428,Asian,Single,Fully Meets,3,3645,8/6/2023,1,3,3,6-May-23,Leadership Development,External,Incomplete,Lake Michael,William Lambert,5,398.36
Brenton,Rodriguez,22-Apr-23,,Production Technician II,Sara Bullock,SVG,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,Splicing,1/1/1968,MA,Splicer,Female,77551,Hispanic,Widowed,Fully Meets,3,3646,30-07-2023,5,4,4,22-Jul-23,Communication Skills,External,Failed,Newmanburgh,Jeanne Turner,4,533.61
Nathen,Arias,28-Dec-20,30-Jan-21,Production Technician II,Craig Leblanc,EW,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Involuntary,Best room cell task majority budget.,Production       ,Engineers,24-07-1966,MA,Engineer,Female,20847,Black,Single,Fully Meets,3,3647,28-12-2022,2,4,4,10-Aug-22,Technical Skills,Internal,Completed,Duarteside,Crystal Brown,4,199.55
Keyon,Hensley,23-Feb-22,,Production Technician II,Peter Smith,MSC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Aerial,27-06-1948,MA,Lineman,Female,76615,Other,Divorced,Exceeds,4,3648,28-09-2022,3,3,5,26-Feb-23,Leadership Development,Internal,Completed,East Nathanfort,Elizabeth Barr,2,325.78
Elisha,Ruiz,13-Aug-22,,Production Technician II,Stephen Green,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Field Operations,6/6/1968,MA,Technician,Female,26602,White,Married,Exceeds,4,3649,8/9/2022,1,2,2,18-Dec-22,Leadership Development,External,Completed,Jackfurt,Madeline Wallace,4,336.33
Amirah,Stanley,3-Oct-19,28-Feb-22,Production Technician II,Jason Jenkins,PYZ,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Retirement,Late least forward bill realize camera.,Production       ,Field Operations,25-12-1991,MA,Laborer,Female,72818,White,Divorced,Fully Meets,3,3650,30-06-2023,3,2,4,9-Jan-23,Communication Skills,External,Passed,Mirandaburgh,Michaela Wells,4,242.71
Jeremy,Meyer,14-Oct-19,,Production Technician II,Chad Jones,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,General - Con,19-01-1991,MA,Lineman,Female,90347,White,Single,Fully Meets,3,3651,25-10-2022,1,4,1,14-May-23,Leadership Development,Internal,Failed,Port Martinfurt,Michelle Johnson,4,651.28
Owen,Dillon,30-Aug-19,27-Aug-22,Production Technician I,Victoria Maldonado,NEL,Voluntarily Terminated,Part-Time,Zone C,Part-Time,Resignation,Window stuff western interesting.,Production       ,Field Operations,16-08-1946,MA,Supervisor,Male,96845,Other,Married,Fully Meets,3,3652,1/9/2022,1,5,2,31-Jan-23,Communication Skills,External,Incomplete,Adamsberg,Mrs. Lydia Riley,3,962.45
Bridget,Bray,4-Feb-21,30-Jul-23,Production Technician I,William Watson,PL,Voluntarily Terminated,Contract,Zone B,Part-Time,Voluntary,Particular same detail note.,Production       ,General - Con,29-06-1995,MA,Foreman,Male,67277,Asian,Widowed,Exceeds,3,3653,31-05-2023,4,4,3,20-Jan-23,Customer Service,External,Failed,Lake Carlmouth,Kim Moss,1,791.72
Cassius,Gates,23-Nov-22,,Production Technician I,Jody Cox,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Aerial,30-03-1995,MA,Lineman,Male,17975,Asian,Divorced,Exceeds,4,3654,2/1/2023,2,4,1,11-Apr-23,Project Management,Internal,Incomplete,Peterbury,Lisa Solis,4,553.86
Martha,Kemp,25-Feb-23,,Production Technician I,Shelia Good,SVG,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Engineers,20-10-1998,MA,Engineer,Male,97142,Asian,Married,Fully Meets,3,3655,5/4/2023,1,5,1,4-Jan-23,Technical Skills,External,Passed,West Dustin,Lawrence Edwards,1,735.72
Francesca,Mcmahon,15-Dec-19,,Production Technician I,Darlene Green,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Underground,14-04-2001,MA,Laborer,Male,72523,Hispanic,Divorced,Exceeds,5,3656,14-11-2022,5,3,2,14-Jun-23,Project Management,Internal,Failed,Lake Henryton,Louis Fox,4,867.03
Lorelei,Walls,29-Aug-21,,Production Technician I,Christine Mccarthy,WBL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,General - Con,4/3/1992,MA,Flagger,Female,44406,Black,Single,Fully Meets,4,3657,26-03-2023,4,2,4,26-May-23,Project Management,External,Incomplete,West Lori,Timothy Taylor,1,710.14
Emery,Gillespie,4-Nov-22,7-Jul-23,Production Technician I,Thomas Jackson,BPC,Active,Part-Time,Zone C,Temporary,Involuntary,Once simple the decade.,Production       ,Project Management - Con,25-11-1966,MA,Technician,Female,95682,Black,Divorced,Fully Meets,3,3658,2/8/2023,5,4,2,18-Aug-22,Leadership Development,External,Incomplete,South Sean,Jeffrey Moreno,2,799.88
Kaylee,Baldwin,2-Oct-19,13-Oct-19,Production Technician I,Eric Powell,CCDR,Active,Full-Time,Zone A,Part-Time,Voluntary,Second focus stay scientist.,Production       ,Field Operations,30-10-1989,MA,Engineer,Male,86746,Other,Divorced,Exceeds,1,3659,26-08-2022,3,1,5,27-Jan-23,Leadership Development,External,Passed,North Ashleytown,Jeffrey Olson,5,242.87
Aron,Hester,24-May-19,,Production Technician I,Joel Browning,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Field Operations,21-06-1974,MA,Supervisor,Male,73540,Hispanic,Single,Exceeds,3,3660,30-08-2022,3,2,4,19-May-23,Leadership Development,Internal,Passed,Port John,Logan Nelson,4,849.77
Reagan,Brennan,28-Feb-22,5-Sep-22,Production Technician I,Denise Roman,MSC,Active,Contract,Zone C,Temporary,Involuntary,Decide group difference decide.,Production       ,Executive,22-05-1952,MA,Vp,Male,21624,Asian,Married,Fully Meets,3,3661,6/7/2023,3,2,5,6-May-23,Customer Service,External,Passed,Tyroneburgh,Timothy Wheeler,2,471.5
Hugh,Berry,13-Jun-23,,Production Technician I,Linda Cummings,NEL,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Wireline Construction,18-04-1973,MA,Laborer,Male,90473,Other,Married,Exceeds,2,3662,14-07-2023,3,5,3,20-May-23,Customer Service,Internal,Passed,East Michael,Jonathan Bowen,1,535.93
Brandon,Anderson,7-Oct-19,22-Jan-22,Production Technician I,Sean Kennedy,PL,Future Start,Part-Time,Zone B,Full-Time,Retirement,Bar serious exist pretty.,Production       ,General - Con,23-11-1977,MA,Foreman,Female,13534,Black,Single,Exceeds,3,3663,26-04-2023,2,3,4,22-Mar-23,Technical Skills,Internal,Passed,Judyburgh,Christopher Long,3,816.64
Diana,Garza,6-Oct-20,12-Jan-22,Production Technician I,Robert Reid,PYZ,Future Start,Full-Time,Zone C,Part-Time,Involuntary,Let political issue.,Production       ,Field Operations,15-08-1956,MA,Locator,Female,2667,Other,Widowed,Fully Meets,3,3664,30-05-2023,5,3,2,14-Mar-23,Communication Skills,Internal,Incomplete,Schaeferhaven,Regina Richardson PhD,1,210.44
Dalton,Bowen,22-Nov-19,,Production Technician I,Lucas Morse,SVG,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,30-03-1985,MA,Field Technician,Male,54319,Asian,Married,Fully Meets,3,3665,2/3/2023,5,2,1,9-Jan-23,Project Management,Internal,Passed,Shaneland,Betty Kelley,3,752.33
Davin,Peters,29-Apr-22,21-Jan-23,Production Technician I,Melissa Shaw,TNS,Active,Full-Time,Zone A,Full-Time,Involuntary,Rule film know if eat hear.,Production       ,Field Operations,19-05-1956,MA,Laborer,Male,16052,Hispanic,Single,Fully Meets,3,3666,26-04-2023,5,2,1,2-Aug-23,Project Management,Internal,Completed,New Betty,Toni Bridges,3,343.52
Leyla,Warren,11-Dec-22,28-Apr-23,Production Technician I,Brooke Meyer,WBL,Active,Part-Time,Zone B,Temporary,Resignation,Term southern major ever care.,Production       ,Billable Consultants,23-08-1998,MA,Technician,Male,18998,Black,Single,Fully Meets,3,3667,18-11-2022,1,1,2,3-Feb-23,Leadership Development,Internal,Completed,North Williamborough,Emily Robinson,3,860.31
Victoria,Allen,6-Aug-23,6-Aug-23,Production Technician I,Christopher Clark,BPC,Active,Full-Time,Zone C,Full-Time,Voluntary,Rest such husband through his customer no look.,Production       ,Underground,24-05-1996,MA,Operator,Male,33735,Asian,Widowed,Needs Improvement,3,3668,29-06-2023,1,5,1,28-Nov-22,Customer Service,External,Completed,East John,James Lee,4,265.55
Tyler,Hines,28-Mar-20,12-Mar-23,Production Technician I,Joshua Francis,CCDR,Voluntarily Terminated,Contract,Zone A,Temporary,Retirement,Let former service.,Production       ,Finance & Accounting,16-01-1967,MA,Clerk,Male,81928,Black,Widowed,Fully Meets,3,3669,11/4/2023,4,2,4,3-Aug-23,Project Management,Internal,Completed,Stacyhaven,Linda Moore,1,183.85
Sandra,Atkinson,11-Aug-22,27-Mar-23,Production Technician II,Walter Shaw,SVG,Active,Full-Time,Zone A,Full-Time,Resignation,Far happy light already.,Production       ,Billable Consultants,17-01-1969,MA,Engineer,Female,14006,Hispanic,Widowed,Needs Improvement,3,3670,16-08-2022,2,2,3,25-Sep-22,Project Management,External,Completed,East Rhonda,Emily Davis,5,942.09
Simone,Hayes,26-Jan-23,19-Jun-23,Production Technician II,Alexander Roberts,EW,Voluntarily Terminated,Part-Time,Zone A,Temporary,Involuntary,Edge cold language. Once bring quality hot.,Production       ,Splicing,29-12-1989,MA,Splicer,Female,45376,Asian,Divorced,Needs Improvement,3,3671,10/1/2023,3,4,5,20-Jan-23,Communication Skills,External,Passed,East Andrew,Cindy Fletcher,4,381.94
Rhett,Valenzuela,14-Jan-19,,Production Technician II,Aaron Holland,MSC,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,General - Con,24-02-1991,MA,Foreman,Female,44501,Asian,Divorced,Fully Meets,3,3672,30-11-2022,3,2,4,29-Aug-22,Project Management,External,Failed,Port Stephen,George Orozco,1,358.73
Lane,Zuniga,11-Jun-22,10-Jan-23,Production Technician II,Casey Morris,TNS,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,My teach piece need school fight rock.,Production       ,People Services,19-02-1973,MA,Manager,Female,47767,Other,Widowed,Fully Meets,3,3673,8/6/2023,3,3,1,21-Mar-23,Customer Service,External,Passed,Davisfort,Daniel Wood,3,578.02
Isabelle,Shields,25-Jun-20,2-Mar-22,Production Technician II,Sarah Williamson,BPC,Voluntarily Terminated,Part-Time,Zone C,Part-Time,Voluntary,Five carry couple goal western.,Production       ,Engineers,1/5/1996,MA,Engineer,Female,39141,Other,Single,Fully Meets,3,3674,2/4/2023,4,4,3,8-Nov-22,Project Management,Internal,Completed,South Robin,Alyssa Swanson,2,223.29
Mario,Mays,8-Jun-20,29-Dec-22,Production Technician II,Melissa Torres,CCDR,Active,Full-Time,Zone C,Full-Time,Resignation,Herself others song center word almost without.,Production       ,Engineers,28-08-1952,MA,Technician,Female,70090,Hispanic,Divorced,Fully Meets,3,3675,5/5/2023,5,3,2,7-Sep-22,Customer Service,Internal,Passed,East Biancabury,Catherine Hardin,5,992.37
Leah,Robinson,29-Aug-18,,Production Technician I,Craig Hawkins,BPC,Active,Contract,Zone B,Part-Time,Unk,,Production       ,Yard (Material Handling),29-11-1993,MA,Associate,Male,35858,Black,Divorced,Fully Meets,3,3676,7/9/2022,3,4,1,10-Feb-23,Customer Service,Internal,Failed,Taylorbury,April Parrish,5,113.48
Dayami,Bailey,1-Oct-22,,Production Technician I,Matthew Hughes,CCDR,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Field Operations,4/2/1960,MA,Supervisor,Male,27462,Hispanic,Single,Fully Meets,3,3677,25-07-2023,3,5,5,5-Oct-22,Leadership Development,External,Incomplete,New Jenna,Brandon Cunningham,4,882.2
Ramon,Fleming,22-Jul-21,,Production Technician I,Chad Ramirez,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,General - Eng,24-05-1999,MA,Drafter,Male,65321,Asian,Single,Fully Meets,3,3678,20-11-2022,3,4,4,6-Sep-22,Customer Service,Internal,Incomplete,Jillside,David Underwood,2,288.16
Pedro,Harrison,14-Dec-19,,Production Technician I,Erica Moore,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Engineers,16-07-1989,MA,Engineer,Male,54017,Asian,Divorced,Fully Meets,3,3679,26-10-2022,4,2,5,16-Jan-23,Leadership Development,External,Completed,North Davidhaven,Christopher Santos,1,815.52
Harrison,Hudson,27-Mar-20,,Production Technician I,Felicia Ashley,MSC,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Underground,14-09-1985,MA,Operator,Female,51584,Other,Divorced,Fully Meets,3,3680,23-04-2023,3,2,3,15-May-23,Leadership Development,Internal,Completed,Markberg,Matthew Peterson,4,461.06
Taniya,Lane,25-Nov-21,,Production Technician I,James Williams,TNS,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Engineers,17-03-1976,MA,Project Manager,Female,75321,Black,Widowed,Fully Meets,3,3681,13-08-2022,5,2,5,22-Mar-23,Customer Service,External,Incomplete,Timview,Mrs. Maria Cantrell MD,2,580.16
Rene,Wallace,8-Jul-23,,Production Technician I,Michael Diaz MD,PYZ,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,Field Operations,28-04-1943,MA,Technician,Female,37646,Black,Single,Fully Meets,4,3682,30-07-2023,3,3,3,17-Oct-22,Communication Skills,External,Incomplete,Lake Dawn,Michael Robinson,3,336.69
Kai,Gaines,2-Nov-21,11-Dec-21,Production Technician I,Mackenzie Porter,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Central baby moment benefit do.,Production       ,Finance & Accounting,6/1/1956,MA,Administration,Male,33204,Other,Divorced,Fully Meets,3,3683,25-10-2022,2,1,5,28-Dec-22,Project Management,Internal,Completed,Wongchester,Debra Williams,1,990.69
Noelle,Levy,1-Dec-19,25-Dec-22,Production Technician I,Robert Simmons,NEL,Active,Contract,Zone C,Part-Time,Involuntary,Scientist believe edge imagine push bit fast.,Production       ,Field Operations,3/8/1954,MA,Technician,Male,76198,Hispanic,Widowed,Fully Meets,3,3684,16-04-2023,5,5,3,29-Oct-22,Communication Skills,Internal,Completed,Lake Janet,Timothy Coleman,2,939.39
Kylie,Jimenez,16-Aug-22,10-Nov-22,Production Technician I,Jordan Harrison,PL,Active,Full-Time,Zone C,Full-Time,Retirement,Factor doctor edge police.,Production       ,Project Management - Con,22-06-1986,MA,Coordinator,Male,10600,Asian,Widowed,Fully Meets,3,3685,3/1/2023,4,3,4,6-Jan-23,Leadership Development,External,Passed,Mcclureshire,Tiffany Thornton,1,941.12
Carly,Figueroa,25-Apr-21,12-Dec-22,Production Technician I,Jesse Farmer,BPC,Future Start,Part-Time,Zone A,Full-Time,Retirement,Concern expect add skill.,Production       ,Engineers,20-04-1998,MA,Director,Male,67909,White,Single,Exceeds,1,3686,3/1/2023,3,3,1,5-Jul-23,Project Management,Internal,Incomplete,Lake Katelyn,Elizabeth Allen,3,878.11
Bria,Mcpherson,17-May-19,,Production Technician I,Brianna Blake,CCDR,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,20-08-1944,MA,Supervisor,Female,26340,White,Divorced,Exceeds,1,3687,2/9/2022,2,4,5,26-Dec-22,Customer Service,External,Incomplete,Mitchellfurt,Austin Maynard,3,614.53
Brynn,Harding,4-May-19,3-Aug-21,Production Technician I,Kathleen Clark,SVG,Future Start,Contract,Zone B,Full-Time,Involuntary,Matter man skill produce poor.,Production       ,Wireline Construction,19-09-1951,MA,Manager,Female,42113,Asian,Divorced,Exceeds,3,3688,2/12/2022,4,4,4,26-Nov-22,Customer Service,Internal,Failed,Edwinfurt,Stephanie Saunders,4,269.88
Rashad,Wells,16-Jul-21,,Production Technician I,Jonathan Gutierrez,EW,Active,Contract,Zone A,Temporary,Unk,,Production       ,Field Operations,29-12-1960,MA,Laborer,Male,95832,Asian,Married,Exceeds,3,3689,17-08-2022,4,4,3,25-Feb-23,Communication Skills,External,Passed,West Teresashire,Henry Hines,1,734.94
Jaylene,Deleon,4-Aug-20,27-Feb-21,Production Technician I,Adam Barber,MSC,Active,Part-Time,Zone A,Temporary,Voluntary,Size manager receive decide attention play plant.,Production       ,Yard (Material Handling),14-11-1950,MA,Laborer,Male,60287,White,Single,Needs Improvement,3,3690,31-05-2023,4,3,5,3-Apr-23,Technical Skills,Internal,Completed,Davidside,Elizabeth Davis,5,589.5
Chace,Church,23-Nov-20,,Production Technician I,David Valenzuela,TNS,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Finance & Accounting,3/1/1993,MA,Manager,Male,34316,Asian,Single,Needs Improvement,1,3691,7/12/2022,1,1,5,6-Mar-23,Leadership Development,Internal,Completed,Pierceport,Eric Snyder,3,311.28
Zayne,Hunter,11-Nov-19,,Production Technician I,Lisa Jordan,PYZ,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Aerial,15-12-1979,MA,Lineman,Male,75371,Black,Widowed,Needs Improvement,3,3692,17-02-2023,4,5,3,29-Mar-23,Technical Skills,Internal,Passed,Nolanport,Robert Barnett,5,671.88
Amya,Vega,20-May-19,30-Aug-20,Production Technician II,Alexa Smith,SVG,Active,Part-Time,Zone B,Temporary,Involuntary,Name social full approach. Position want win.,Production       ,Project Management - Con,1/8/1977,MA,Field Project Manager,Female,13727,White,Married,Exceeds,2,3693,9/4/2023,3,1,1,24-Jan-23,Project Management,External,Completed,Martineztown,Corey Morales,1,861.5
Nickolas,West,5-Nov-19,16-Apr-22,Production Technician II,Sue Harper,EW,Voluntarily Terminated,Full-Time,Zone A,Part-Time,Involuntary,Training civil attention exist matter water.,Production       ,Field Operations,11/3/1961,MA,Specialist,Female,94278,Hispanic,Married,PIP,4,3694,20-03-2023,3,3,5,19-May-23,Leadership Development,External,Completed,Elizabethview,Louis Todd,2,649.18
Cason,Neal,20-Sep-18,4-Feb-21,Production Technician II,Savannah Schneider,MSC,Voluntarily Terminated,Contract,Zone C,Temporary,Voluntary,Public ask American affect market order.,Production       ,Catv,28-11-1989,MA,Laborer,Female,70817,Hispanic,Divorced,PIP,4,3695,28-08-2022,1,1,4,8-Jan-23,Project Management,External,Failed,Zacharytown,John Ward,4,492.2
Aldo,Dyer,2-Sep-20,26-May-23,Production Technician II,Chase Ramirez,TNS,Voluntarily Terminated,Contract,Zone B,Part-Time,Resignation,Arrive its during organization about.,Production       ,Wireless,7/10/1989,MA,Foreman,Female,74423,Hispanic,Widowed,PIP,3,3696,1/12/2022,2,1,2,13-Jan-23,Technical Skills,Internal,Passed,South Hannahmouth,James Gonzalez,2,299.59
Sonia,Skinner,28-Jun-20,,Production Technician II,Connor Galloway,PYZ,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,26-12-1992,MA,Technician,Female,51256,Other,Single,PIP,4,3697,20-07-2023,3,4,1,24-Apr-23,Technical Skills,Internal,Failed,East Vincent,Jennifer Lopez,2,982.33
Julien,Banks,22-Mar-23,30-May-23,Production Technician II,Savannah Weber,WBL,Active,Full-Time,Zone A,Full-Time,Involuntary,Usually section evening with cup left.,Production       ,Catv,12/6/1984,MA,Foreman,Female,16462,Hispanic,Married,PIP,3,3698,19-01-2023,2,5,4,24-Dec-22,Leadership Development,External,Passed,Jessicamouth,Chad Watts,2,830.36
Madelyn,Mcdonald,30-Aug-22,20-Sep-22,Production Technician I,Justin Harris,PYZ,Voluntarily Terminated,Part-Time,Zone B,Temporary,Involuntary,Business draw with hear dream eat.,Production       ,Engineers,31-01-1977,MA,Engineer,Male,48065,Asian,Divorced,PIP,2,3699,21-06-2023,2,4,3,19-Aug-22,Customer Service,External,Passed,Jessicaberg,Alejandro Bates,1,973.34
Brenden,Nash,24-Oct-19,,Production Technician I,Wendy Rogers,PL,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Wireline Construction,12/4/1988,MA,Supervisor,Male,93840,Hispanic,Divorced,PIP,1,3700,18-01-2023,4,1,1,25-Feb-23,Project Management,Internal,Failed,East Elizabeth,Andrew Haynes,4,667.34
Genesis,Coleman,9-Nov-19,,Production Technician I,Bryan Greer,NEL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Shop (Fleet),20-06-1948,MA,Mechanic,Male,35917,Other,Single,PIP,2,3701,10/6/2023,4,1,4,21-Aug-22,Communication Skills,Internal,Failed,West Justinmouth,Kathleen Cole,4,480.17
